section,metric,config,config_ref,subset,rung,statistic,value,n,ci_lo,ci_hi,p_two_sided,pair_id,note
E_fov_ladder,raw,ma_roma_ft/pyramid_v2,ma_roma_ft/direct,base-matchable,0.25,delta_SR@10,0.0196,51,-0.0392,0.0784,0.7868,,direct=0.3725; pyramid_v2=0.3922; fine-tuned on 131/187 pairs (results/split.json train); not comparable on the full 187-pair aggregate
E_fov_ladder,tps,ma_roma_ft/pyramid_v2,ma_roma_ft/direct,base-matchable,0.25,delta_SR@10,0.0196,51,0.0000,0.0588,0.7340,,direct=0.0784; pyramid_v2=0.0980; fine-tuned on 131/187 pairs (results/split.json train); not comparable on the full 187-pair aggregate
E_fov_ladder,raw,ma_roma_ft/pyramid_v2,ma_roma_ft/direct,base-matchable,0.1,delta_SR@10,0.0784,51,0.0196,0.1569,0.0308,,direct=0.0784; pyramid_v2=0.1569; fine-tuned on 131/187 pairs (results/split.json train); not comparable on the full 187-pair aggregate
E_fov_ladder,tps,ma_roma_ft/pyramid_v2,ma_roma_ft/direct,base-matchable,0.1,delta_SR@10,-0.0196,51,-0.0588,0.0000,0.7246,,direct=0.0196; pyramid_v2=0.0000; fine-tuned on 131/187 pairs (results/split.json train); not comparable on the full 187-pair aggregate
E_fov_ladder,,ma_roma_ft,,base-matchable AND held-out,,denominator_pool,18.0000,63,,,,,pairs passing the base-matchable filter; split.json train excluded
E_fov_ladder,raw,ma_roma_ft/pyramid_v2,ma_roma_ft/direct,base-matchable AND held-out,0.5,delta_SR@10,0.0667,15,0.0000,0.2000,0.6982,,direct=0.5333; pyramid_v2=0.6000
E_fov_ladder,tps,ma_roma_ft/pyramid_v2,ma_roma_ft/direct,base-matchable AND held-out,0.5,delta_SR@10,0.1333,15,-0.1333,0.4000,0.4240,,direct=0.6000; pyramid_v2=0.7333
E_fov_ladder,raw,ma_roma_ft/pyramid_v2,ma_roma_ft/direct,base-matchable AND held-out,0.25,delta_SR@10,0.0556,18,-0.1111,0.2222,0.7748,,direct=0.5556; pyramid_v2=0.6111
E_fov_ladder,tps,ma_roma_ft/pyramid_v2,ma_roma_ft/direct,base-matchable AND held-out,0.25,delta_SR@10,0.0556,18,0.0000,0.1667,0.7166,,direct=0.1111; pyramid_v2=0.1667
E_fov_ladder,raw,ma_roma_ft/pyramid_v2,ma_roma_ft/direct,base-matchable AND held-out,0.1,delta_SR@10,0.1667,18,0.0000,0.3333,0.0770,,direct=0.1111; pyramid_v2=0.2778
