pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#14,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,4851,homography,3.61,3.132,2.860,0.100,0.550,0.850,1.000,3.564,3.480,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#15,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,3767,affine,3.44,3.849,3.813,0.150,0.400,0.600,1.000,5.019,3.233,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#16,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,3320,homography,3.61,5.839,4.602,0.050,0.350,0.550,0.750,5.122,2.762,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#17,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,3090,affine,3.89,6.415,6.423,0.050,0.250,0.400,0.800,6.443,5.323,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#18,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,3506,affine,3.71,2.361,2.124,0.050,0.700,1.000,1.000,4.272,3.312,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#19,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,4467,homography,3.65,3.433,3.301,0.150,0.500,0.750,1.000,3.716,2.538,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#20,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,3093,homography,3.88,5.278,4.733,0.000,0.250,0.500,0.900,5.277,4.049,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#21,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,4147,homography,3.68,2.854,2.868,0.100,0.600,0.800,1.000,3.042,2.201,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#22,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,3229,homography,3.68,2.837,3.202,0.250,0.450,0.850,1.000,3.096,2.003,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#23,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,2502,homography,3.92,4.185,3.500,0.050,0.350,0.700,1.000,5.572,3.664,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#24,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,3786,homography,3.69,2.392,2.415,0.100,0.850,0.950,1.000,2.537,1.986,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#25,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,3915,homography,3.72,2.125,1.904,0.100,0.800,0.950,1.000,2.370,1.756,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#26,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.3692,0.04134,20,10000,2967,homography,3.90,3.078,2.677,0.150,0.550,0.850,1.000,3.668,2.668,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,ma_roma_ft,direct,0.9513,0.10851,47,10000,8119,homography,3.39,2.278,2.227,0.191,0.702,0.957,1.000,3.118,2.685,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#1,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,ma_roma_ft,direct,0.9513,0.10851,47,10000,7720,homography,3.42,2.758,2.086,0.128,0.681,0.894,0.979,3.570,2.981,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#2,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,ma_roma_ft,direct,0.9513,0.10851,47,10000,5924,homography,3.59,2.972,2.764,0.043,0.553,0.894,1.000,3.501,3.281,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#3,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,ma_roma_ft,direct,0.9513,0.10851,47,10000,2664,homography,3.43,3.299,3.065,0.149,0.489,0.766,1.000,12.729,6.537,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#4,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,ma_roma_ft,direct,0.9513,0.10851,47,10000,2653,homography,3.41,4.015,3.929,0.064,0.362,0.702,0.979,7.683,5.504,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#5,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,ma_roma_ft,direct,0.9513,0.10851,47,10000,2321,affine,3.58,5.605,4.275,0.043,0.298,0.532,0.830,8.766,6.079,ok,
eval_CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning_0#0,SerialSectioning,CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning,ma_roma_ft,direct,0.9286,1.85714,61,10000,3540,affine,1.05,5.600,4.674,0.049,0.230,0.525,0.869,4.113,3.865,ok,
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5592,5.12007,22,10000,1091,affine,1.33,20.450,16.870,0.000,0.045,0.045,0.227,19.978,15.152,ok,
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_1#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5592,5.12007,33,10000,1389,affine,1.40,22.658,18.071,0.000,0.030,0.121,0.303,20.345,13.745,ok,
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_2#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5592,5.12007,46,10000,1563,affine,1.32,16.327,11.158,0.000,0.043,0.130,0.457,16.709,12.430,ok,
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_3#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,ma_roma_ft,direct,0.5592,5.12007,44,10000,1743,affine,1.29,15.274,11.875,0.000,0.000,0.045,0.273,15.784,12.511,ok,
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#0,SlipPartitioning,In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.5515,0.03345,56,10000,857,affine,2.12,175.611,175.075,0.000,0.000,0.000,0.000,183.523,182.971,ok,
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#1,SlipPartitioning,In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning,ma_roma_ft,direct,0.5515,0.03345,56,10000,1433,affine,2.05,170.728,165.816,0.000,0.000,0.000,0.000,183.979,174.528,ok,
