pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#22,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,0.3692,0.04134,20,24,4,homography+mmi,42.80,749.355,772.141,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#23,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,,,20,,,,,,,,,,,,,failed,matcher returned only 0 correspondences (<4)
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#24,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,0.3692,0.04134,20,17,4,homography+mmi,41.70,7980.032,1365.813,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#25,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,0.3692,0.04134,20,23,6,homography+mmi,42.06,1241.583,583.403,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#26,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,classical,,,20,,,,,,,,,,,,,failed,matcher returned only 0 correspondences (<4)
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,classical,0.9513,0.10851,47,30,4,homography+mmi,42.39,8713.653,672.869,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#1,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,classical,0.9513,0.10851,47,15,4,homography+mmi,40.34,1082.399,588.762,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#2,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,classical,,,47,,,,,,,,,,,,,failed,matcher returned only 0 correspondences (<4)
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#3,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,classical,0.9513,0.10851,47,23,4,homography+mmi,36.01,776.341,760.981,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#4,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,classical,0.9513,0.10851,47,27,5,homography+mmi,41.68,1452.736,1120.334,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#5,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,classical,,,47,,,,,,,,,,,,,failed,matcher returned only 0 correspondences (<4)
eval_CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning_0#0,SerialSectioning,CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning,sift,classical,0.9286,1.85714,61,245,8,homography+mmi,4.07,3456.640,1961.359,0.000,0.000,0.000,0.000,,,ok,
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,sift,classical,0.5592,5.12007,22,45,6,homography+mmi,7.72,2218.972,2306.330,0.000,0.000,0.000,0.000,,,ok,
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_1#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,sift,classical,0.5592,5.12007,33,63,6,homography+mmi,7.39,1500.989,1448.522,0.000,0.000,0.000,0.000,,,ok,
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_2#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,sift,classical,0.5592,5.12007,46,42,6,homography+mmi,6.74,36267.522,11566.332,0.000,0.000,0.000,0.000,,,ok,
