pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#12,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,6,4,affine,26.40,1024.676,1018.711,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#13,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,10,4,homography,27.17,564.870,515.799,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#14,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,20,,,,,,,,,,,,,failed,only 1 correspondences
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#15,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,12,4,homography,28.33,1501.982,733.731,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#16,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,19,5,homography,28.13,12237.613,4076.113,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#17,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,20,,,,,,,,,,,,,failed,only 0 correspondences
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#18,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,16,5,homography,28.08,1881.247,1162.718,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#19,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,14,4,homography,28.82,2515.846,1513.113,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#20,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,20,,,,,,,,,,,,,failed,only 0 correspondences
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#21,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,9,4,homography,28.89,4819.002,3289.306,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#22,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,24,4,affine,26.85,661.156,568.401,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#23,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,20,,,,,,,,,,,,,failed,only 0 correspondences
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#24,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,17,4,homography,26.90,4265.870,1276.424,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#25,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,0.3692,0.04134,20,23,6,homography,26.65,1256.082,573.209,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#26,SlipPartitioning,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,20,,,,,,,,,,,,,failed,only 0 correspondences
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,direct,0.9513,0.10851,47,30,4,homography,24.45,6104.229,676.691,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#1,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,direct,0.9513,0.10851,47,15,4,homography,24.15,998.899,571.051,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#2,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,direct,,,47,,,,,,,,,,,,,failed,only 0 correspondences
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#3,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,direct,0.9513,0.10851,47,23,4,homography,24.08,781.765,704.903,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#4,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,direct,0.9513,0.10851,47,27,5,homography,23.38,111486.667,1040.180,0.000,0.000,0.000,0.000,,,ok,
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#5,SameSlice,CoNi-AM90_SEM-EBSD_SameSlice,sift,direct,,,47,,,,,,,,,,,,,failed,only 0 correspondences
eval_CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning_0#0,SerialSectioning,CoNi_SEM-SE_SEM-BSE_Cracks-SameSliceSerialSectioning,sift,direct,0.9286,1.85714,61,245,8,homography,1.15,2987.218,2589.440,0.000,0.000,0.000,0.000,,,ok,
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_0#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,sift,direct,0.5592,5.12007,22,45,6,homography,4.06,1866.386,2072.565,0.000,0.000,0.000,0.000,,,ok,
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_1#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,sift,direct,0.5592,5.12007,33,63,6,affine,4.05,1535.999,1586.715,0.000,0.000,0.000,0.000,,,ok,
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_2#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,sift,direct,0.5592,5.12007,46,42,6,homography,4.14,93832.559,9133.476,0.000,0.000,0.000,0.000,,,ok,
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_3#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,sift,direct,0.5592,5.12007,44,40,5,homography,3.99,2312.443,1303.575,0.000,0.000,0.000,0.000,,,ok,
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#0,SlipPartitioning,In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,56,,,,,,,,,,,,,failed,only 0 correspondences
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#1,SlipPartitioning,In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,56,,,,,,,,,,,,,failed,only 0 correspondences
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#2,SlipPartitioning,In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,56,,,,,,,,,,,,,failed,only 0 correspondences
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#3,SlipPartitioning,In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning,sift,direct,,,56,,,,,,,,,,,,,failed,only 0 correspondences
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,direct,0.6667,1.00000,20,60,5,affine,0.27,2958.095,3184.779,0.000,0.000,0.000,0.000,,,ok,
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#1,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,direct,0.9226,0.46130,39,11,4,homography,0.16,457.875,213.592,0.000,0.000,0.000,0.000,,,ok,
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#2,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,direct,0.9226,0.46130,39,14,4,homography,0.16,316.469,272.262,0.000,0.000,0.000,0.000,,,ok,
